"Team","Goals","Shots_per_game","Yellow_red_card","Possession_Percentage","Pass_success_percentage","Aerial_duels_won_per_game"
"1. France","16","14.6","80","51.5","84.3","15.1"
"2. England","13","12.6","10","63.6","87.9","12"
"3. Netherlands","10","8.4","90","53.2","84.2","16"
"4. Argentina","15","14.3","160","57.2","86.1","12.3"
"5. Brazil","8","19.2","60","55.2","88.2","9"
"6. Spain","9","12.3","20","76.8","90.9","10.3"
"7. Germany","6","23","30","59.8","87.3","12.3"
"8. Croatia","8","11.3","80","54.4","85.7","12.6"
"9. Portugal","12","13.2","60","60.9","85.7","13.2"
"10. Cameroon","4","9.3","61","41.7","79.0","14.3"
"11. Tunisia","1","10.7","50","43.3","76.2","16"
"12. Poland","3","7.8","70","36.6","77.4","13"
"13. Uruguay","2","11","80","48.5","77.9","17.7"
"14. Belgium","1","11.7","50","57.4","86.7","11"
"15. Morocco","6","8.7","71","38.4","80.7","10.3"
"16. USA","3","11.3","50","53.2","84.5","13.8"
"17. Ecuador","4","10","30","53.2","80.7","16.7"
"18. Mexico","2","13.7","70","53.6","78.8","16"
"19. Japan","5","11","60","34.7","77.5","14.8"
"20. Denmark","1","11.3","50","60.4","84.2","17"
"21. South Korea","5","12.5","60","47.9","83.0","18.3"
"22. Senegal","5","13","70","45.0","79.8","18.3"
"23. Iran","4","11","70","35.9","71.5","14.3"
"24. Australia","4","6.5","70","37.3","75.9","18.3"
"25. Ghana","5","8.7","80","41.9","80.2","12.3"
"26. Saudi Arabia","3","9.7","140","44.6","73.7","15.7"
"27. Serbia","5","10.7","120","51.0","79.9","14.3"
"28. Switzerland","5","9.3","90","48.9","82.5","11.3"
"29. Costa Rica","3","4","60","30.2","76.2","12.7"
"30. Wales","1","8","51","45.8","77.5","14"
"31. Canada","2","11.7","80","52.3","84.5","10"
"32. Qatar","1","6.7","70","43.1","81.3","12.3"
