Team,Goal_Total,Goal_SixYardBox,Goal_PenaltyArea,Goal_OutOfBox
1. France,2.1,0.9,1.1,0.1
2. England,2.6,0.2,2.2,0.2
3. Netherlands,2,0.2,1.6,0.2
4. Brazil,1.4,0.2,1.2,0
5. Argentina,2,0.1,1.7,0.1
6. Germany,2,0.3,1.7,0
7. Spain,2.3,0.5,1.8,0
8. Portugal,2.4,0.6,1.6,0.2
9. Cameroon,1.3,0.3,1,0
10. Croatia,1,0,0.9,0.1
11. Tunisia,0.3,0,0.3,0
12. Poland,0.8,0,0.8,0
13. Uruguay,0.7,0.3,0.3,0
14. Belgium,0.3,0,0.3,0
15. Morocco,0.9,0.3,0.4,0.1
16. USA,0.8,0.5,0.3,0
17. Ecuador,1.3,0.7,0.7,0
18. Mexico,0.7,0.3,0,0.3
19. Japan,1.3,0.5,0.5,0.3
20. Denmark,0.3,0,0.3,0
21. South Korea,1.3,0.5,0.5,0.3
22. Senegal,1.3,0.3,1,0
23. Iran,1.3,0,1,0.3
24. Ghana,1.7,0.7,1,0
25. Australia,1,0.3,0.5,0
26. Saudi Arabia,1,0,1,0
27. Serbia,1.7,0,1.3,0.3
28. Switzerland,1.3,0.5,0.8,0
29. Costa Rica,1,0.7,0.3,0
30. Wales,0.3,0,0.3,0
31. Canada,0.7,0,0.3,0
32. Qatar,0.3,0,0.3,0
