Team,Pass_cross_pergame,Pass_Through_ball_pergame,Pass_Long_ball_pergame,Pass_Short_pass_pergame
Spain,17,3,54,889
Argentina,13,2,44,580
Germany,23,2,46,571
Brazil,21,1,36,562
England,17,1,52,556
Croatia,22,2,47,552
Belgium,18,3,51,540
Denmark,23,0,70,531
Portugal,21,1,61,527
Netherlands,14,1,52,510
France,19,2,55,473
USA,23,1,50,464
Canada,18,0,48,437
Switzerland,13,0,52,430
Serbia,19,3,49,415
Uruguay,14,1,57,406
South Korea,23,0,61,402
Ecuador,19,1,55,392
Qatar,14,1,58,378
Mexico,27,3,56,377
Japan,14,1,54,351
Wales,12,1,71,347
Ghana,16,1,45,338
Tunisia,21,2,61,336
Morocco,11,1,50,334
Senegal,18,1,57,328
Australia,14,0,62,324
Cameroon,18,1,59,324
Saudi Arabia,13,1,56,313
Poland,13,0,62,290
Costa Rica,7,0,61,284
Iran,16,1,66,267
